지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
22447,2010-12-28,2020-11-16,옥도,,목포기상대(165),34.6928,126.0556,,,,,
22448,2010-12-28,2016-06-09,하납덕도,,목포기상대(165),34.7667,126.2078,,,,,
22449,2010-12-24,,진도,,광주지방기상청(156),34.4425,126.0569,,,,,
22450,2016-12-30,,두미도,,부산지방기상청(159),34.710,128.1492,,,,,
22450,2010-12-29,2016-12-25,두미도,,부산지방기상청(159),34.7444,128.175,,,,,
22451,2011-12-30,,연곡,,강릉(구 105),37.8674,128.8856,,,,,
22452,2011-12-30,2020-12-04,죽변,,대구(구 143),37.1041,129.3893,,,,,
22453,2011-12-30,2020-12-04,구룡포,,대구(구 143),35.9978,129.5861,,,,,
22454,2011-12-30,,장안,,부산지방기상청(159),35.2958,129.2883,,,,,
22455,2011-12-30,,해금강,,부산지방기상청(159),34.7358,128.6908,,,,,
22456,2011-12-30,,청산도,,광주지방기상청(156),34.1381,126.7442,,,,,
22457,2011-12-30,,제주항,,제주지방기상청(184),33.5253,126.4939,,,,,
22458,2011-12-30,,중문,,제주지방기상청(184),33.2254,126.3931,,,,,
22459,2018-09-17,,오륙도,,부산지방기상청(159),35.095,129.1283,,,,,
22459,2011-12-30,2018-09-17,북항,,부산지방기상청(159),35.095,129.1283,,,,,
22460,2018-09-17,,다대포,,부산지방기상청(159),35.0224,128.9561,,,,,
22460,2011-12-30,2018-09-17,남항,,부산지방기상청(159),35.0224,128.9561,,,,,
22461,2012-11-30,,이작도,,인천기상대(112),37.1551,126.2007,,,,,
22462,2012-11-30,2016-06-09,안마도,,광주지방기상청(156),35.3477,126.0142,,,,,
22463,2012-11-30,2013-04-19,고성,,강릉(구 105),38.2582,128.5917,,,,,
22464,2012-11-30,,울릉읍,,대구(구 143),37.4714,130.9003,,,,,
22465,2012-11-30,,후포,,대구(구 143),36.7192,129.4881,,,,,
22466,2012-11-30,,금오도,,광주지방기상청(156),34.5667,127.7767,,,,,
22467,2021-12-10,,한산도,,부산지방기상청(159),34.7056,128.4961,,,,,
22467,2012-11-30,2021-12-10,한산도,,부산지방기상청(159),34.7022,128.4961,,,,,
22468,2012-11-30,,추자도,,제주지방기상청(184),33.9731,126.2783,,,,,
22469,2012-11-30,,우도,,제주지방기상청(184),33.5222,126.9667,,,,,
22470,2012-12-17,2021-08-20,풍도,,인천기상대(112),37.1167,126.375,,,,,
22471,2013-04-19,,토성,,강릉(구 105),38.2773,128.5757,,,,,
22472,2013-09-13,,자월도,,인천기상대(112),37.3044,126.1581,,,,,
22473,2013-09-13,,서천,,대전지방기상청(133),36.1669,126.3328,,,,,
22474,2013-09-13,,군산,,전주기상대(146),35.8881,126.4256,,,,,
22475,2013-07-27,,영광,,광주지방기상청(156),35.4358,126.1764,,,,,
22476,2013-08-14,,가파도,,제주지방기상청(184),33.1626,126.2639,,,,,
22477,2013-10-07,,노화도,,광주지방기상청(156),34.2417,126.4917,,,,,
22478,2013-09-13,,고흥,,광주지방기상청(156),34.3753,127.1786,,,,,
22479,2021-01-22,,맹방,,강릉(구 105),37.4017,129.2292,,,,,
22479,2013-08-13,2021-01-22,삼척,,강릉(구 105),37.4017,129.2292,,,,,
22480,2014-06-25,2014-06-27,맹골수도,,광주지방기상청(156),34.1234,125.563,,,,,
22481,2014-06-27,,맹골수도,,광주지방기상청(156),34.2093,125.9547,,,,,
22483,2015-01-01,,간절곶,,울산기상대(152),35.367,129.375,,,,,
22484,2015-01-01,,잠도,,창원기상대(155),35.058,128.681,,,,,
22485,2015-01-01,,소매물도,,부산지방기상청(159),34.621,128.538,,,,,
22486,2015-01-01,,협재,,제주지방기상청(184),33.4005,126.2091,,,,,
22487,2015-05-20,,천수만,,,36.4672,126.4394,,,,,
22488,2015-10-13,,안면도,,,36.5369,126.2981,,,,,
22489,2015-10-13,,대치마도,,목포기상대(165),35.0175,126.0319,,,,,
22490,2015-10-13,,월포,,대구(구 143),36.2169,129.4017,,,,,
22491,2015-10-13,,김녕,,제주지방기상청(184),33.5817,126.7636,,,,,
22492,2016-01-15,,비안도,,전주기상대(146),35.7404,126.3523,,,,,
22493,2016-06-09,,자은,,목포기상대(165),34.9192,125.8681,,,,,
22494,2016-06-09,,낙월,,광주지방기상청(156),35.2006,126.2103,,,,,
22495,2016-06-17,,신산,,제주지방기상청(184),33.3778,126.9058,,,,,
22496,2016-12-05,,장봉도,,인천기상대(112),37.4914,126.3542,,,,,
22497,2016-12-05,,변산,,전주기상대(146),35.6592,126.4592,,,,,
22498,2016-12-05,,남해,,부산지방기상청(159),34.6964,127.9925,,,,,
22499,2021-12-10,,연화도,,부산지방기상청(159),34.6733,128.3653,,,,,
22499,2016-12-12,2021-12-10,연화도,,부산지방기상청(159),34.6672,128.3847,,,,,
22500,2016-12-31,,조도,,전주기상대(146),34.2872,126.1153,,,,,
22501,2017-11-09,,사량도,,부산지방기상청(159),34.8608,128.1398,,,,,
22502,2017-11-20,,나로도,,광주지방기상청(156),34.4322,127.5894,,,,,
22503,2017-12-01,,불무도,,광주지방기상청(156),34.3178,126.1742,,,,,
22504,2017-11-16,,위도,,광주지방기상청(156),35.6584,126.261,,,,,
22505,2017-11-06,,영락,,제주지방기상청(184),33.2386,126.1947,,,,,
22507,2018-11-01,,초도,,광주지방기상청(156),34.1511,127.2181,,,,,
22509,2019-12-20,,장안퇴,,대전지방기상청(133),37.0336,126.2831,,,,,
22511,2021-01-26,,기장,,부산지방기상청(159),35.2222,129.2833,,,,,
22512,2021-01-26,,지심도,,부산지방기상청(159),34.8278,128.775,,,,,
22513,2021-01-26,,이수도,,부산지방기상청(159),34.9717,128.7583,,,,,
22514,2021-01-26,,구엄,,제주지방기상청(184),33.521,126.3749,,,,,
22515,2021-01-26,,위미,,제주지방기상청(184),33.2237,126.7112,,,,,
22516,2021-01-26,,신창,,제주지방기상청(184),33.3669,126.1089,,,,,
22517,2021-01-26,,하도,,제주지방기상청(184),33.5608,126.9298,,,,,
22518,2021-01-26,,당사,,울산기상대(152),35.5778,129.5028,,,,,
22519,2021-01-26,,고성,,강릉(구 105),38.3172,128.6392,,,,,
22520,2021-01-26,,강릉,,강릉(구 105),37.7983,129.0608,,,,,
22521,2022-03-17,,삼척,,대관령기상대(100),37.4639,129.3181,,,,,
22521,2021-01-26,2022-03-17,삼척,,강릉(구 105),37.4017,129.4467,,,,,
22522,2021-01-26,,연평도,,,37.6194,125.6483,,,,,
22523,2020-12-04,,죽변,,대구(구 143),37.1028,129.4594,,,,,
22524,2020-12-04,,구룡포,,대구(구 143),35.9678,129.5986,,,,,
22601,2009-01-01,2010-12-02,하납덕도,,목포기상대(165),34.461,126.1248,,,,,
22602,2009-01-01,2010-12-02,옥도,,목포기상대(165),34.4156,126.0336,,,,,
